Level,Mario POW,Mario DEF,Mario HP,Luigi POW,Luigi DEF,Luigi HP,Bowser POW,Bowser DEF,Bowser HP
1,20,12,24,16,14,30,55,29,75
2,28,18,33,23,21,40,62,33,83
3,36,24,42,30,28,50,68,38,91
4,44,30,51,37,35,60,75,43,99
5,52,36,60,44,42,70,81,48,107
6,60,42,69,51,49,80,89,53,115
7,68,48,78,58,56,90,95,58,123
8,76,54,87,65,63,100,104,64,134
9,84,60,96,72,70,110,112,70,144
10,92,66,105,79,77,120,121,76,155
11,100,72,114,86,84,130,129,81,165
12,108,78,123,93,91,140,138,87,176
13,116,84,132,100,98,150,147,94,188
14,124,90,141,107,105,160,158,101,201
15,132,96,150,114,112,170,167,107,212
16,140,102,159,121,119,180,177,114,225
17,148,108,168,128,126,190,187,120,237
18,156,114,177,135,133,200,196,126,250
19,164,120,186,142,140,210,206,133,261
20,172,126,195,149,147,220,216,139,274
21,180,132,204,156,154,230,226,146,285
22,188,138,213,163,161,240,235,153,298
23,196,144,222,170,168,250,243,158,307
24,204,150,231,177,175,260,251,163,318
25,212,156,240,184,182,270,260,170,327
26,220,162,249,191,189,280,268,175,338
27,228,168,258,198,196,290,275,180,347
28,236,174,267,205,203,300,283,186,357
29,244,180,276,212,210,310,290,191,366
30,252,186,285,219,217,320,300,197,376
31,260,192,294,226,224,330,307,203,385
32,268,198,303,233,231,340,315,208,395
33,276,204,312,240,238,350,319,212,400
34,284,210,321,247,245,360,324,216,406
35,292,216,330,254,252,370,330,220,412
36,300,222,339,261,259,380,334,224,418
37,308,228,348,268,266,390,339,228,423
38,316,234,357,275,273,400,345,233,430
39,324,240,366,282,280,410,350,237,436
40,332,246,375,289,287,420,356,242,442
41,340,252,384,296,294,430,360,246,448
42,348,258,393,303,301,440,366,250,455
43,356,264,402,310,308,450,371,254,459
44,364,270,411,317,315,460,375,258,464
45,372,276,420,324,322,470,379,262,469
46,380,282,429,331,329,480,384,266,474
47,388,288,438,338,336,490,388,270,478
48,396,294,447,345,343,500,392,274,482
49,404,300,456,352,350,510,397,278,486
50,412,306,465,359,357,520,401,282,491
