id,name,background,foreground,border,icon
612940,"Worms School",Tutorial_ATF.tga.png,,border.png,Icon_Training.png
612941,"The Battle for Wormandy",Mission_DD.tga.png,,border.png,Icon_Campaign.png
612942,"Fixing the Ice Dispenser",Mission_Ice.tga.png,,border.png,Icon_Campaign.png
612943,"Hurry Skurry",Mission_HelterSkelter.tga.png,,border.png,Icon_Campaign.png
612944,"UFO Catcher",Mission_CC.tga.png,,border.png,Icon_Campaign.png
612945,"The Prince of Darkness",Mission_HS.tga.png,,border.png,Icon_Campaign.png
612946,"Escape Room",Mission_PH.tga.png,,border.png,Icon_Campaign.png
612947,"Let's Zepple In",Mission_BB.tga.png,,border.png,Icon_Campaign.png
612948,"Woooarrrgh",Mission_AJS.tga.png,,border.png,Icon_Campaign.png
614494,"Secret of Atlantis",Tutorial_ATF.tga.png,Icon_TeamRandom.png,border.png,Icon_Padlock.png
614495,"Secret of the Graveyard",Mission_GD.tga.png,Icon_TeamRandom.png,border.png,Icon_Padlock.png
614496,"Secret of the School",Mission_SFS.tga.png,Icon_TeamRandom.png,border.png,Icon_Padlock.png
614497,"Secret of the Keyboard",Mission_AQF.tga.png,Icon_TeamRandom.png,border.png,Icon_Padlock.png
614498,"Secret of the Reef",Mission_SOCR.tga.png,Icon_TeamRandom.png,border.png,Icon_Padlock.png
614499,"Secret of the Funfair",Mission_NRFF.tga.png,Icon_TeamRandom.png,border.png,Icon_Padlock.png
614500,"Secret of the House",Mission_BBB.tga.png,Icon_TeamRandom.png,border.png,Icon_Padlock.png
610362,"Bovine Artillery",FE_Backdrop.png,Weap_MadCow.png,border.png,Icon_Padlock.png
610366,"When Sheeps Fly",FE_Backdrop.png,Weap_SuperSheep.png,border.png,Icon_Padlock.png
610364,"Ancient Ritual",FE_Backdrop.png,Weap_Quake.png,border.png,Icon_Padlock.png
610363,"The Soft Fruit of Doom",FE_Backdrop.png,Weap_Banana.png,border.png,Icon_Padlock.png
610365,"The Nuclear Test",FE_Backdrop.png,Weap_Nuke.png,border.png,Icon_Padlock.png
610358,"Options!",FE_Backdrop.png,Icon_Options_Game.png,border.png,Icon_Padlock.png
610359,"Super Villain",FE_Backdrop.png,Icon_Speechtest.png,border.png,Icon_Padlock.png
610360,"The Art of War",FE_Backdrop.png,Icon_Wormopaedia.png,border.png,Icon_Padlock.png
610361,"Globe Trotter",FE_Backdrop.png,Icon_LandscapeMenu.png,border.png,Icon_Padlock.png
615304,"Medal of Honor",FE_Backdrop.png,Icon_Trophy.png,border.png,Icon_Campaign.png
615305,"Gold Challenger",FE_Backdrop.png,Icon_Trophy.png,border.png,Icon_Challenge.png
615306,"Shotgun Master",FE_Backdrop.png,Weap_Shotgun.png,border.png,Icon_Challenge.png
615307,"Super Sheep Master",FE_Backdrop.png,Weap_SuperSheep.png,border.png,Icon_Challenge.png
615308,"Jetpack Master",FE_Backdrop.png,Util_JetPack.png,border.png,Icon_Challenge.png
615309,"Parachute Master",FE_Backdrop.png,Weap_Parachute.png,border.png,Icon_Challenge.png
615310,"Deathmatch Master",FE_Backdrop.png,Icon_Team_Options.png,border.png,Icon_Challenge.png
610367,"Let's Go Gambling!",FE_Backdrop.png,Icon_WormPot.png,border.png,
615956,"Kamikaze",FE_Backdrop.png,Icon_Quick.png,border.png,
615951,"The Worminator",wpd_uzi.tga.png,,border.png,
612677,"Hole in One",Tutorial_DR.tga.png,Icon_Training.png,border.png,
615536,"Rewriting History",Mission_DD.tga.png,,border.png,Icon_BigGold.png
615537,"Corny Situation",Mission_CB.tga.png,,border.png,Icon_BigGold.png
615546,"Grave Digger",Mission_GD.tga.png,,border.png,Icon_BigGold.png
615547,"Water-Way to Go",Mission_LVP.tga.png,,border.png,Icon_BigGold.png
615548,"No Time to Chill",Mission_Ice.tga.png,,border.png,Icon_BigGold.png
