key,slus,sles
AI.BulletCount,0x1d00f40,0x1ce3d90
AI.DataString,0x1cfcc4c,0x1ce6990
AI.LaunchVelocity,0x1cfbe54,0x1ce6ccc
AI.WeaponsDontEndTurn,0x1d00ea8,0x1ce7218
AIJetpack.ParabolicTime,0x1d00ec4,0x1ce3864
AIParams.CPU1,0x1cff2b4,0x1ce6758
AIParams.CPU2,0x1cff2b8,0x1ce675c
AIParams.CPU3,0x1cff2bc,0x1ce6760
AIParams.CPU4,0x1cff2cc,0x1ce6768
AIParams.CPU5,0x1cff2d0,0x1ce676c
AIParams.CPUTest,0x1cfdb10,0x1ce3830
AIParams.Worm00,0x1cfe2f0,0x1ce5150
AIParams.Worm01,0x1cfe2f4,0x1ce5154
AIParams.Worm02,0x1cfe2f8,0x1ce5158
AIParams.Worm03,0x1cfe2fc,0x1ce515c
AIParams.Worm04,0x1cfe314,0x1ce5160
AIParams.Worm05,0x1cfe318,0x1ce5170
AIParams.Worm06,0x1cfe31c,0x1ce5174
AIParams.Worm07,0x1cfe320,0x1ce5180
AIParams.Worm08,0x1cfe324,0x1ce5184
AIParams.Worm09,0x1cfe328,0x1ce5188
AIParams.Worm10,0x1cfe130,0x1ce4f90
AIParams.Worm11,0x1cfe134,0x1ce4f94
AIParams.Worm12,0x1cfe138,0x1ce4f98
AIParams.Worm13,0x1cfe150,0x1ce4f9c
AIParams.Worm14,0x1cfe154,0x1ce4fa0
AIParams.Worm15,0x1cfe158,0x1ce4fa4
AIParams.Worm16,0x1cfe15c,0x1ce4fa8
AIParams.Worm17,0x1cfe160,0x1ce4fb0
AIStrike.Direction,0x1cfcee8,0x1ce4ce8
AIStrike.SeekTarget,0x1cfc740,0x1ce4d10
AIStrike.TargetPoint,0x1cfeb80,0x1ce59e4
AIStrike.UpVector,0x1cff438,0x1ce6428
AM%20bluelight,0x1d00484,0x1ce7920
AM%20bluering,0x1cfef10,0x1ce4dcc
AM%20greenlight,0x1d00080,0x1ce6260
AM%20greenring,0x1cfdb58,0x1ce73dc
AM%20orbiting%20cloud%20big,0x1cfe38c,0x1ce488c
AM%20orbiting%20cloud%20small1,0x1cfba34,0x1ce4c84
AM%20orbiting%20cloud%20small2,0x1cfba38,0x1ce4c88
AM%20redlight,0x1cfed54,0x1ce5ec4
AM%20redring,0x1d0004c,0x1ce735c
ActiveWormIndex,0x1cfc410,0x1ce3ef0
ActiveWormTaskId,0x1cfbb40,0x1ce3ad0
Afterspark,0x1cfc25c,0x1ce5640
Airstrike.Direction,0x1cfcce8,0x1ce5a88
Airstrike.Direction.Radians,0x1d00a40,0x1ce49bc
Airstrike.HasTarget,0x1cfcb40,0x1ce5f20
Airstrike.IsWormValidTarget,0x1cfdc40,0x1ce3fb0
Airstrike.MaxDistance,0x1d00d88,0x1ce3a4c
Airstrike.StartPoint,0x1cfc3c0,0x1ce6f18
Airstrike.TargetEntity,0x1cfebd4,0x1ce5bc8
Airstrike.TargetPoint,0x1cfdb00,0x1ce7390
Airstrike.UpVector,0x1cff7f8,0x1ce75f8
Airstrike.WaterTarget,0x1cff588,0x1ce6570
Airstrike.WeaponProperties,0x1cfbe3c,0x1ce698c
AllianceCount,0x1cfcd00,0x1ce76c0
Angle.Power.DaveThang.Scale,0x1cfd258,0x1ce4ec0
AnimTextIn,0x1d00168,0x1ce4d68
AnimTextNomal,0x1cfef60,0x1ce4010
AnimTextOUT,0x1cfd700,0x1ce7440
App.BuildVersion,0x1cfdb30,0x1ce4794
App.ReplayPlaying,0x1cfc94c,0x1ce48dc
App.ReplayRecording,0x1d0110c,0x1ce64dc
Audio.DistanceFactor,0x1d00e00,0x1ce6038
Audio.DopplerFactor,0x1cfd3bc,0x1ce78c8
Audio.RolloffFactor,0x1cfd27c,0x1ce6018
Audio.Vol.Ambient,0x1cfec00,0x1ce5420
Audio.Vol.Music,0x1cfbd7c,0x1ce498c
Audio.Vol.Sfx,0x1cfffd0,0x1ce4ef0
Aura_DS,0x1cfc07c,0x1ce591c
BACKUP.FE.Land.Ind,0x1cfdac0,0x1ce7670
BACKUP.FE.Land.RealSeed,0x1d006c0,0x1ce6ee0
BACKUP.FE.Land.Time,0x1d0028c,0x1ce54c4
BACKUP.FE.LevelToUse,0x1d00d08,0x1ce47d8
BT.GameSettings.Client,0x1cffd40,0x1ce3cc0
BT.GameSettings.Normal,0x1cffaa0,0x1ce3ed4
BT.GameSettings2.Client,0x1cfd748,0x1ce3ab0
BT.GameSettings2.Normal,0x1cfd7e0,0x1ce5900
BT.WeaponOptions.Client,0x1cfc604,0x1ce5850
BT.WeaponOptions.Normal,0x1d004e0,0x1ce42d0
BackSmoke,0x1cfd648,0x1ce63ec
BaseMenuItem.RefCount,0x1cfde44,0x1ce4b10
BigFlash,0x1cfd410,0x1ce4d60
Bigflash2,0x1cff378,0x1ce7498
Bluelight,0x1d00f80,0x1ce77a0
Bomber.AnimIndex,0x1d01410,0x1ce7780
Bomber.BlitzDuration,0x1cfc728,0x1ce3a38
Bomber.Direction,0x1cfd528,0x1ce6c28
Bomber.EffectName,0x1cfbbc4,0x1ce47d4
Bomber.ExtraHeight,0x1cfcc48,0x1ce7790
Bomber.GroundSpeed,0x1cfe000,0x1ce5310
Bomber.Mesh,0x1cfd5d0,0x1ce5ba4
Bomber.NumBombs,0x1cfdb3c,0x1ce65bc
Boomf_Basespray,0x1cfde98,0x1ce3714
Boomf_BasesprayBig,0x1cfbfcc,0x1ce5868
Boomf_CentrePlume,0x1cfe3d8,0x1ce56d4
Boomf_RingBase,0x1cfba04,0x1ce6878
Boomf_Spray,0x1cfe758,0x1ce6560
Boomf_WhitewaterMesh,0x1cfc110,0x1ce5044
Boot.Load_Success,0x1cff32c,0x1ce6c8c
Bounce.MinSpeed,0x1cff180,0x1ce6c60
BuffaloAllianceIndex,0x1cffe50,0x1ce6fe0
BuffaloDefaultRoundsActive,0x1cfe188,0x1ce6114
BuffaloRoundsActive,0x1d00988,0x1ce74c4
Camera.AimAngle,0x1d0060c,0x1ce64c4
Camera.Blimp.DefaultPitch,0x1cff250,0x1ce3e50
Camera.Blimp.HeightAboveLand,0x1cfcbcc,0x1ce4060
Camera.Blimp.MousePitchSpeed,0x1cfd580,0x1ce40c0
Camera.Blimp.MouseWheelSpeed,0x1d01248,0x1ce3f00
Camera.Blimp.MouseXSpeed,0x1cff880,0x1ce3800
Camera.Blimp.MouseYSpeed,0x1cfdd80,0x1ce5540
Camera.Blimp.MouseYawSpeed,0x1d01300,0x1ce7034
Camera.Blimp.MoveSpeed,0x1cff7c0,0x1ce6948
Camera.Blimp.PitchSpeed,0x1cfe004,0x1ce7700
Camera.Blimp.RotateSpeed,0x1cff5cc,0x1ce65b0
Camera.Blimp.StickLength,0x1cfbcd0,0x1ce6e60
Camera.Blimp.UpdateSpeed,0x1cfc300,0x1ce50a4
Camera.CurrentMode,0x1cfea0c,0x1ce6998
Camera.Data,0x1cffb4c,0x1ce5864
Camera.Entity.TaskId,0x1cff3c8,0x1ce4dec
Camera.Free.Move.Speed,0x1d00294,0x1ce5e20
Camera.Free.Pitching,0x1cfe60c,0x1ce41ac
Camera.Free.Rotate.Speed,0x1cfe900,0x1ce4ae0
Camera.GameOverCamera,0x1cfbdb4,0x1ce62c4
Camera.Graphic.TaskId,0x1cfed40,0x1ce6e64
Camera.Head.LookUpdateSpeed,0x1d00980,0x1ce7330
Camera.Jetpack.AbsoluteMaxDist,0x1cff0c8,0x1ce60b0
Camera.Jetpack.AbsoluteMinDist,0x1cfd78c,0x1ce4904
Camera.Jetpack.DefaultDistance,0x1cfed4c,0x1ce6378
Camera.Jetpack.DefaultHeight,0x1cfd1c0,0x1ce6d70
Camera.Jetpack.DistFromObject,0x1cff188,0x1ce67b0
Camera.Jetpack.LookAboveObject,0x1cffe04,0x1ce4ba0
Camera.Jetpack.LookAheadScale,0x1cfc388,0x1ce7384
Camera.Jetpack.LookAheadSpeed,0x1d000cc,0x1ce4fe4
Camera.Jetpack.LookUpdateSpeed,0x1cfea00,0x1ce4be0
Camera.Jetpack.MaxLkAheadDist,0x1d009c4,0x1ce4df0
Camera.Jetpack.MaxLookAboveObj,0x1cfd998,0x1ce5478
Camera.Jetpack.MinDistance,0x1cffc0c,0x1ce44e8
Camera.Jetpack.MouseXSpeed,0x1cfe440,0x1ce4170
Camera.Jetpack.MouseYSpeed,0x1cfc940,0x1ce5eb0
Camera.Jetpack.PosUpdateSpeed,0x1cffd08,0x1ce6520
Camera.Jetpack.UpUpdateSpeed,0x1cfb980,0x1ce7600
Camera.Jetpack.UpdateSpeed,0x1cfc100,0x1ce6610
Camera.Jetpack.VelocityScale,0x1cfdd08,0x1ce6468
Camera.Orbit.AdditionalRadius,0x1cfbefc,0x1ce52dc
Camera.Orbit.Height,0x1d009c0,0x1ce4c64
Camera.Orbit.IgnoreInput,0x1cfc880,0x1ce5c64
Camera.Orbit.Speed,0x1cff480,0x1ce43a0
Camera.Path.IgnoreInput,0x1d01500,0x1ce4030
Camera.Path.Knot,0x1cfd840,0x1ce5320
Camera.Path.Knots.LookAt,0x1d00b4c,0x1ce3808
Camera.Path.Knots.Position,0x1cff8e8,0x1ce4038
Camera.Path.Loop.LookAt,0x1cfd2c0,0x1ce6b50
Camera.Path.Loop.Position,0x1cfec68,0x1ce6748
Camera.Path.Steps.LookAt,0x1cfc6cc,0x1ce60e0
Camera.Path.Steps.Position,0x1d01468,0x1ce4a88
Camera.Path.Tension.LookAt,0x1cfec40,0x1ce6d6c
Camera.Path.Tension.Position,0x1cfe568,0x1ce4298
Camera.Shake.ExpDurationScale,0x1cff548,0x1ce6d04
Camera.Shake.ExpMagScale,0x1cfd74c,0x1ce5b84
Camera.Shake.ExpRadiusScale,0x1cfec04,0x1ce655c
Camera.Shake.Handle,0x1cffb08,0x1ce5e74
Camera.Shake.Length,0x1cfcd10,0x1ce47f4
Camera.Shake.Magnitude,0x1cfef4c,0x1ce60cc
Camera.Start.LookAt,0x1d00a00,0x1ce73b0
Camera.Start.Position,0x1cfd8a8,0x1ce5cec
Camera.Start.Up,0x1cfe270,0x1ce6200
Camera.Start.Yaw,0x1cfc250,0x1ce5ae0
Camera.StartOfTurnCamera,0x1d00a34,0x1ce7894
Camera.Track.EventPosition,0x1d003ec,0x1ce5f88
Camera.Track.MinEventTime,0x1cff884,0x1ce493c
Camera.Wobble.Size,0x1cfe244,0x1ce5874
Camera.Wobble.Speed,0x1cfe810,0x1ce4210
Campfire_1,0x1cff434,0x1ce4b28
Campfire_2,0x1cff440,0x1ce4b30
Campfire_3,0x1cff448,0x1ce4b34
Campfire_4,0x1cff44c,0x1ce4b38
Chall.Assault1.game1,0x1cfcd74,0x1ce62e8
Chall.Assault1.game2,0x1cfcd88,0x1ce62f4
Chall.Assualt1.game3,0x1cfdf00,0x1ce4590
Chall.Chute1.Intro3,0x1cfe76c,0x1ce478c
Chall.Chute1.brief,0x1cfc798,0x1ce4bcc
Chall.Chute1.game1,0x1cfede8,0x1ce738c
Chall.Chute1.game2,0x1cfedec,0x1ce7398
Chall.Chute2.Intro1,0x1cfe674,0x1ce46d0
Chall.Chute2.Intro2,0x1cfe678,0x1ce46d8
Chall.Chute2.Intro3,0x1cfe688,0x1ce46dc
Chall.Chute2.Intro4,0x1cfe68c,0x1ce46e0
Chall.Chute2.Intro5,0x1cfe690,0x1ce46ec
Chall.Chute2.Nice1,0x1cfc0f4,0x1ce5220
Chall.Chute2.Nice2,0x1cfc124,0x1ce5228
Chall.Chute2.Tip1,0x1d008bc,0x1ce6d10
Chall.Chute2.Tip2,0x1d008c4,0x1ce6d1c
Chall.Chute2.brief,0x1cfec6c,0x1ce4978
Chall.Chute3.brief,0x1cfff64,0x1ce7708
Chall.Deathmatch1.Brief,0x1cff41c,0x1ce721c
Chall.Deathmatch1.Game1,0x1d009f4,0x1ce7a24
Chall.Deathmatch1.Game2,0x1d00a08,0x1ce3700
Chall.Deathmatch1.Game3,0x1d00a0c,0x1ce3708
Chall.Deathmatch10.Brief,0x1cfcf0c,0x1ce4aa0
Chall.Deathmatch10.Game1,0x1cff08c,0x1ce7648
Chall.Deathmatch10.Game2,0x1cff098,0x1ce7654
Chall.Deathmatch10.Game3,0x1cff09c,0x1ce7658
Chall.Deathmatch2.Brief,0x1cff564,0x1ce491c
Chall.Deathmatch2.Game1,0x1d00b70,0x1ce50f8
Chall.Deathmatch2.Game2,0x1d00b74,0x1ce50fc
Chall.Deathmatch2.Game3,0x1d00b78,0x1ce5100
Chall.Deathmatch3.Brief,0x1d0089c,0x1ce76cc
Chall.Deathmatch3.Game1,0x1cfc0a8,0x1ce3bc0
Chall.Deathmatch3.Game2,0x1cfc0ac,0x1ce3bd0
Chall.Deathmatch3.Game3,0x1cfc0b0,0x1ce3bd8
Chall.Deathmatch4.Brief,0x1cfcf54,0x1ce7458
