Key,Type,Address,PreUnlocked
Lock.Award.0,TROPHY,0xde9880,0
Lock.Award.1,TROPHY,0xde9884,0
Lock.Award.10,TROPHY,0xdeef00,0
Lock.Award.11,TROPHY,0xdeef04,0
Lock.Award.12,TROPHY,0xdeef08,0
Lock.Award.13,TROPHY,0xdeef0c,0
Lock.Award.14,TROPHY,0xdeef10,0
Lock.Award.2,TROPHY,0xde9888,0
Lock.Award.3,TROPHY,0xde988c,0
Lock.Award.4,TROPHY,0xde9890,0
Lock.Award.5,TROPHY,0xde9894,0
Lock.Award.6,TROPHY,0xde9898,0
Lock.Award.7,TROPHY,0xde989c,0
Lock.Award.8,TROPHY,0xde98a0,0
Lock.Award.9,TROPHY,0xde98a4,0
Lock.Challenge.Accuracy,CHALLENGE,0xdedf24,0
Lock.Challenge.CrateCollect,CHALLENGE,0xded450,0
Lock.Challenge.Icarus,CHALLENGE,0xde910c,0
Lock.Challenge.JetPack,CHALLENGE,0xdebf6c,0
Lock.Challenge.Navigation,CHALLENGE,0xdec938,0
Lock.Challenge.SSheep,CHALLENGE,0xdebe00,0
Lock.Challenge.Shotgun,CHALLENGE,0xde98fc,0
Lock.Challenge.SniperRifle,CHALLENGE,0xded8d8,0
Lock.Deathmatch.1,DEATHMATCH,0xdea7c4,0
Lock.Deathmatch.10,DEATHMATCH,0xde8200,0
Lock.Deathmatch.2,DEATHMATCH,0xdea7c8,0
Lock.Deathmatch.3,DEATHMATCH,0xdea7cc,0
Lock.Deathmatch.4,DEATHMATCH,0xdea7d4,0
Lock.Deathmatch.5,DEATHMATCH,0xdea7d8,0
Lock.Deathmatch.6,DEATHMATCH,0xdea7dc,0
Lock.Deathmatch.7,DEATHMATCH,0xdea7e0,0
Lock.Deathmatch.8,DEATHMATCH,0xdea7e4,0
Lock.Deathmatch.9,DEATHMATCH,0xdea7e8,0
Lock.EasterEgg.0,EASTER_EGG,0xdedf40,0
Lock.EasterEgg.1,EASTER_EGG,0xdedf44,0
Lock.EasterEgg.2,EASTER_EGG,0xdedf48,0
Lock.EasterEgg.3,EASTER_EGG,0xdedf4c,0
Lock.EasterEgg.4,EASTER_EGG,0xdedf54,0
Lock.Face.3D,FACE,0xde8510,1
Lock.Face.Elvis,FACE,0xdeb2cc,0
Lock.Face.Elvis.Bk,FACE,0xdeba6c,0
Lock.Face.Elvis.R,FACE,0xdeb28c,0
Lock.Face.Elvis.S,FACE,0xdeb290,0
Lock.Face.Matrix,FACE,0xde82a4,1
Lock.Face.Monocle,FACE,0xde9998,1
Lock.Face.NHS,FACE,0xde76d0,1
Lock.Face.NHS.Bl,FACE,0xde91b0,1
Lock.Face.NHS.R,FACE,0xdea188,1
Lock.Face.NHS.W,FACE,0xdea19c,1
Lock.Face.NVision,FACE,0xdeed00,0
Lock.Face.Pirate,FACE,0xdea014,1
Lock.Face.Pirate.Be,FACE,0xdee918,1
Lock.Face.Pirate.R,FACE,0xdee848,1
Lock.Face.Pirate.W,FACE,0xdee85c,1
Lock.Face.Rayban,FACE,0xdec7f8,1
Lock.Face.Rayban2,FACE,0xde7ccc,1
Lock.Face.Star,FACE,0xdec1c8,1
Lock.Face.Star.L,FACE,0xdebe30,1
Lock.Face.Star.P,FACE,0xdebdc0,1
Lock.Face.Star.Z,FACE,0xdebde8,1
Lock.Face.XRay,FACE,0xde85e4,0
Lock.Face.XRay.P,FACE,0xdec8c0,0
Lock.Face.XRay.S,FACE,0xdec8cc,0
Lock.Face.XRay.Y,FACE,0xdec8e4,0
Lock.Hands.Bones,HAND,0xde994c,0
Lock.Hands.Cowboy,HAND,0xde9b64,1
Lock.Hands.Cowboy.Bk,HAND,0xded0ac,1
Lock.Hands.Cowboy.R,HAND,0xdee9c8,1
Lock.Hands.Cowboy.W,HAND,0xdee9dc,1
Lock.Hands.FuManChu,HAND,0xded218,0
Lock.Hands.Knight,HAND,0xded790,1
Lock.Hands.Knight.G,HAND,0xdedf1c,1
Lock.Hands.Knight.Gn,HAND,0xde8cfc,1
Lock.Hands.Knight.W,HAND,0xdededc,1
Lock.Hands.Pirate,HAND,0xde7c54,1
Lock.Hands.Pirate.Bk,HAND,0xde922c,1
Lock.Hands.Pirate.Gn,HAND,0xde90f8,1
Lock.Hands.Pirate.W,HAND,0xdec61c,1
Lock.Hands.Punk,HAND,0xdef12c,0
Lock.Hands.Punk.G,HAND,0xdef15c,0
Lock.Hands.Punk.Gn,HAND,0xdeb6f8,0
Lock.Hands.Punk.R,HAND,0xdef188,0
Lock.Hands.Ringed,HAND,0xdeb790,0
Lock.Hands.Spacesuit,HAND,0xdecb90,1
Lock.Hands.Spacesuit.B,HAND,0xdeb208,1
Lock.Hands.Spacesuit.G,HAND,0xdeb21c,1
Lock.Hands.Spacesuit.P,HAND,0xdeb1c0,1
Lock.Hands.White,HAND,0xde92d8,1
Lock.Hands.White.Br,HAND,0xdecc88,1
Lock.Hands.White.D,HAND,0xdead90,1
Lock.Hands.White.Y,HAND,0xdead64,1
Lock.Hat.Afro,HAT,0xde89bc,1
Lock.Hat.AmericanFootball,HAT,0xded870,1
Lock.Hat.AmericanFootball.Bl,HAT,0xdebaf4,1
Lock.Hat.AmericanFootball.S,HAT,0xde844c,1
Lock.Hat.AmericanFootball.Y,HAT,0xde8464,1
Lock.Hat.Arabian,HAT,0xdedef8,0
Lock.Hat.Arabian.D,HAT,0xde7ad0,0
Lock.Hat.Arabian.R,HAT,0xde7b08,0
Lock.Hat.Arabian.W,HAT,0xde7b1c,0
Lock.Hat.Baseball,HAT,0xde91f0,1
Lock.Hat.Baseball.C,HAT,0xdebbd0,1
Lock.Hat.Baseball.Gy,HAT,0xde8364,1
Lock.Hat.Baseball.P,HAT,0xdebc0c,1
Lock.Hat.Baseball.Pe,HAT,0xde8558,1
Lock.Hat.Baseball.R,HAT,0xdebc14,1
Lock.Hat.Baseball.T17,HAT,0xdeeedc,0
Lock.Hat.Bishop,HAT,0xded640,1
Lock.Hat.BluesBrother,HAT,0xde9288,1
