key,address
AI.BulletCount,0xdead50
AI.DataString,0xdee75c
AI.LaunchVelocity,0xdeba24
AI.WeaponsDontEndTurn,0xde8d78
AIJetpack.ParabolicTime,0xdeacd4
AIParams.CPU1,0xde90c4
AIParams.CPU2,0xde90c8
AIParams.CPU3,0xde90cc
AIParams.CPU4,0xde90d8
AIParams.CPU5,0xde90dc
AIParams.CPUTest,0xde985c
AIParams.Worm00,0xdebf80
AIParams.Worm01,0xdebf84
AIParams.Worm02,0xdebf88
AIParams.Worm03,0xdebf8c
AIParams.Worm04,0xdebf94
AIParams.Worm05,0xdebf98
AIParams.Worm06,0xdebf9c
AIParams.Worm07,0xdebfa0
AIParams.Worm08,0xdebfa4
AIParams.Worm09,0xdebfa8
AIParams.Worm10,0xdebdc4
AIParams.Worm11,0xdebdc8
AIParams.Worm12,0xdebdd8
AIParams.Worm13,0xdebddc
AIParams.Worm14,0xdebde4
AIParams.Worm15,0xdebdec
AIParams.Worm16,0xdebdf0
AIParams.Worm17,0xdebdf4
AIStrike.Direction,0xde8c38
AIStrike.SeekTarget,0xdea3d0
AIStrike.TargetPoint,0xdea8d8
AIStrike.UpVector,0xdef008
Abducted.Colour,0xdec488
Abducted10a,0xde7704
Abducted10b,0xde7708
Abducted10c,0xde770c
Abducted10d,0xde7714
Abducted10e,0xde7718
Abducted10f,0xde7720
Abducted10g,0xde7724
Abducted20a,0xdef004
Abducted20b,0xdef028
Abducted20c,0xdef02c
Abducted30a,0xdeec04
Abducted5a,0xdeccc4
Abducted5b,0xdeccc8
Abducted5c,0xdecccc
Abduction.AreaOfEffect,0xdea998
Abduction.AverageHeight,0xde7aac
Abduction.DistanceBetweenWorms,0xdeb5a4
Abduction.ExtraHeight,0xde7920
Abduction.MaxHeight,0xdeda14
Abduction.MaxSpeed,0xde847c
Abduction.NormalSpeed,0xde7a80
ActiveWormIndex,0xdebfe0
ActiveWormTaskId,0xde7890
Airstrike.Direction,0xde8a38
Airstrike.Direction.Radians,0xdee6cc
Airstrike.HasTarget,0xdea7d0
Airstrike.IsWormValidTarget,0xdeb8d8
Airstrike.MaxDistance,0xdeea1c
Airstrike.StartPoint,0xde8118
Airstrike.TargetEntity,0xde89e4
Airstrike.TargetPoint,0xde7910
Airstrike.UpVector,0xde9608
Airstrike.WaterTarget,0xded214
Airstrike.WeaponProperties,0xded94c
Airstrike10,0xdec540
AlienAbductionCamera,0xdeca44
AllianceColourMap,0xded180
AllianceCount,0xdee810
Angle.Power.DaveThang.Scale,0xdeaed8
AnimTextIn,0xdebeb8
AnimTextNomal,0xdeacb0
AnimTextOUT,0xded2d0
App.ReplayPlaying,0xdec51c
App.ReplayRecording,0xdeed9c
Armour.ProtectionPercentage,0xdee820
Audio.DistanceFactor,0xde8cc8
Audio.DopplerFactor,0xdeeed4
Audio.RolloffFactor,0xdeaf0c
Audio.Vol.Ambient,0xdec8a0
Audio.Vol.Music,0xde9a0c
Audio.Vol.Sfx,0xdedc60
Audio.Vol.Speech,0xdebda0
Award.Name.0,0xde8d5c
Award.Name.1,0xde8d60
Award.Name.10,0xde8384
Award.Name.11,0xde8388
Award.Name.12,0xde839c
Award.Name.13,0xde83a0
Award.Name.14,0xde83a4
Award.Name.2,0xde8d64
Award.Name.3,0xde8d68
Award.Name.4,0xde8d6c
Award.Name.5,0xde8d70
Award.Name.6,0xde8d74
Award.Name.7,0xde8d7c
Award.Name.8,0xde8d80
Award.Name.9,0xde8d84
Award.Summary.0,0xdef140
Award.Summary.1,0xdef144
Award.Summary.10,0xded4c4
Award.Summary.11,0xded4cc
Award.Summary.12,0xded4d4
Award.Summary.13,0xded4d8
Award.Summary.14,0xded4dc
Award.Summary.2,0xdef148
Award.Summary.3,0xdef14c
Award.Summary.4,0xdef150
Award.Summary.5,0xdef154
Award.Summary.6,0xdef158
Award.Summary.7,0xdef160
Award.Summary.8,0xdef164
Award.Summary.9,0xdef168
Award.SummaryTemplate.0,0xde9740
Award.SummaryTemplate.1,0xde9744
Award.SummaryTemplate.10,0xde8440
Award.SummaryTemplate.11,0xde8448
Award.SummaryTemplate.12,0xde845c
Award.SummaryTemplate.13,0xde8460
Award.SummaryTemplate.14,0xde8468
Award.SummaryTemplate.2,0xde9748
Award.SummaryTemplate.3,0xde975c
Award.SummaryTemplate.4,0xde9760
Award.SummaryTemplate.5,0xde9768
Award.SummaryTemplate.6,0xde976c
Award.SummaryTemplate.7,0xde9770
Award.SummaryTemplate.8,0xde9774
Award.SummaryTemplate.9,0xde9778
Awards,0xde7b8c
BACKUP.FE.Land.Ind,0xde78d0
BACKUP.FE.Land.RealSeed,0xdea4e4
BACKUP.FE.Land.Time,0xde8154
BACKUP.FE.LevelToUse,0xde8bd8
BaseMenuItem.RefCount,0xde9b9c
BlastSplat0,0xdeb000
Blasted10,0xdef170
Bomber.Begin.AnimIndex,0xdea3e0
Bomber.BlitzDuration,0xdee23c
Bomber.Direction,0xde9278
Bomber.EffectName,0xdeb794
Bomber.End.AnimIndex,0xdeafa0
Bomber.ExtraHeight,0xde89a4
Bomber.GroundSpeed,0xdebc98
Bomber.Mesh,0xde9334
Bomber.NumBombs,0xde794c
Boot.Load_Success,0xde9124
Bored0a,0xde8d44
Bored0b,0xde8d48
Bored0c,0xde8d4c
Bored0d,0xde8d50
Boring0a,0xde7f84
Bounce.MinSpeed,0xdeed58
BriefingText.Name0,0xdeb480
BriefingText.Name1,0xdeb484
BriefingText.Name2,0xdeb488
BriefingText.Name3,0xdeb490
BriefingText.Name4,0xdeb494
BriefingText.Name5,0xdeb498
Bubble.Health,0xdea080
Bubble.LaunchDelay,0xded368
Bubble.Lifetime,0xdeaa54
Bubble.OffsetY,0xde7f24
Bubble.Radius,0xded1d8
BuffaloAllianceIndex,0xde9c60
BuffaloCrate.Position,0xdebd40
BuffaloDefaultRoundsActive,0xdedd54
BuffaloRoundsActive,0xdec6d8
Button.Aim,0xde7bf4
Button.Camera,0xdeee04
Button.Movement,0xdeb014
C.Challenge.Accuracy,0xdec924
C.Challenge.All,0xdeedf0
C.Challenge.CrateCollect,0xded690
C.Challenge.Icarus,0xde84cc
C.Challenge.JetPack,0xde7fac
C.Challenge.Navigation,0xdee1f8
C.Challenge.SSheep,0xde7fc0
C.Challenge.Shotgun,0xde80b8
C.Challenge.SniperRifle,0xde94d8
C.Deathmatch.1,0xde8ac4
C.Deathmatch.10,0xdea600
C.Deathmatch.2,0xde8ac8
C.Deathmatch.3,0xde8acc
C.Deathmatch.4,0xde8ad0
C.Deathmatch.5,0xde8ad4
